year	author	title	citations	social_network	sample_size	sample_country	study_type	variables	cites
2006	Acquisti & Gross	"Imagined Communities: Awareness, Information Sharing, and Privacy on the Facebook"	2161	Facebook	297	US	"correlational, exploratory"	"fb membership,completeness and accuracy of information provided,login frequency, profile update frequency,trust"	"Parker 2006,Youngwood 2006,Kharif 2006,Gross & Acquisti 2005,boyd 2003,boyd 2004,Donath & boyd 2004,Liu & Maes 2005,Jagatic et al 2006,Stutzman 2006,Sege 2005,Anderson 1991,Wall et al 2000,Burke 2002,Westin 1991,Acquisti & Grossklags 2005,Berry & Linoff 1997,Acquisti 2004,Kornblum & Marklein 2006"
2010	Banks et al	Risky Behavior in Online Social Media: Protection Motivation and Social Influence	18	Generic	194	US	"correlational, confirmatory"	"Behavior Intent,Social Influence,Perceived Threat,Perceived Severity,Perceived Vulnerability,Perceived Rewards,Realized Threat"	"Grossklags 2005,Ajzen 1991,Griffin 1994,Ajzen 1975,Straub 2005,Barki 1994,Warkentin 2010,Agarwal 2007,Benbasat 1991,Will 2005,Prentice-Dunn 1997,Poston 2010,Gefen 2004,Faraj 2005"
2016	Bartsch & Dienlin	Control your Facebook: An analysis of online privacy literacy	29	Facebook	424	Germany	"correlational, confirmatory"	"SNS use, privacy regulation experience, social privacy literacy, social privacy behavior, privacy safety"	"Acquisti & Gross 2006,Love 2014,Bagozzi & Yi 1988,Hargittai 2010,Muise & Desmarais 2012,Debatin 2011,Dienlin & Trepte 2015,Dinev & Hart 2006,Ellison et al 2007,Field et al 2012,Frees & Koch 2015,Hoofnagle et al 2010,Kobsa et al 2012,Haferkamp 2011,Lewis et al 2008,Litt 2013,Litt & Hargittai 2014,Livingstone 2008,Livingstone et al 2005,Maslow & Mittelmann 1941,Romer & Anderson 2001,Petronio 2002,Raykov 2001,Rosseel 2012,Rosseel 2015,Subrahmanyam et al 2008,Taddicken 2011,Taddicken 2014,Taddicken & Jers 2011,Trepte & Reinecke 2011,Trepte & Reinecke 2013,Young & Quan-Haase 2013"
2011	Bateman et al	To disclose or not: publicness in social networking sites	111	Fictitious	87	US	"correlational, confirmatory"	"perceived publicness, sns self-disclosure amount, sns self-disclosure depth"	"Preece 2003,Banksont 2009,Higgins 1995,Bilton 2010,Preibusch 2009,Boyd 2004,Boyd 2007,Boyd 2008,Bonnici 2003,Carter 2005,Cozby 1973,Bridgman 2008,Dahlberg 2001,Boyd 2004,Mcgarty 2002,Passerini 2007,Lampe 2006,Lampe 2007,Emery 2010,Finder 2006,Nehmad 2009,Larcker 1981,George 2006,Goffman 1963,Hardy 2009,Hargittai 2008,Heining 2009,Forte 2006,Hulland 1999,Jesdanun 2006,Rafaeli 1999,Lasakow 1958,Kennedy 2006,Narasimhan 2005,Klaassen 2008,Peterson 2010,Lenhart 2009,Nakanishi 1986,Nicol 2007,Null 2010,Papacharissi 2002,Whinston 2007,Petronio 1991,Petronio 2000,Petronio 2004,Pfeffer 2005,Preece 2004,Compeau 2009,Arinze 2002,Will 2005,Rooney 2010,Rosenblum 2007,Sheldon 2009,Singel 2007,Slevin 2000,Thaw 2006,Swan 2009,Dans 2000,Treese 2006,Grotz 1976,Wortham 2009,Danowski 2008,Further & Cozby 1972"
2015	Benson et al	"Information disclosure of social media users: does control over personal information, user awareness and security notices matter?"	25	Generic	514	Not specified	"correlational, confirmatory"	"control over personal information,use of information, privacy notice,information disclosure"	"Brandimarte 2013,Benbunan-Fich 2013,Agarwal 2010,Monteleone 2013,Ball 2001,Hansen 2012,Loewenstein 2013,Sin 2005,Clarke 2001,Backhouse 2001,Hart 2006,Ajzen 1975,Acquisti 2005,Diaz 2013,Peralta 1999,Zhang 2010,Loewenstein 2011,Greer 2013,Jin 2013,Kumar 1975,Li 2011,McGrath 2010,Everard 2011,Agarwal 2004,Zhang 2013,Naisbitt 2001,Campbell 2012,Fygenson 2006,Pauwels 2013,Xu 2011,Reinecke 2013,Xu 2013,Vildjiounaite 2008,Hart 2008,Quan-Haase 2013,Lusch 2013,Getoor 2009"
2016	Buchi et al	Caring Is Not Enough: The Importance of Internet Skills for Online Privacy Protection	8	None	970	Switzerland	"correlational, confirmatory"	"internet skills, privacy breaches, privacy attitudes, privacy protection"	"Just & Latzer 2016,Acquisti et al 2015,Anderson & Rainie 2014,Bennett & Parsons 2013,Blank 2013,Blank & Groselj 2014,Boyd & Crawford 2012,Boyd & Hargittai 2010,Just & Latzer 2015,Chen 2015,De et al 2014,Trepte 2015,DiMaggio et al 2004,Feng & Xie 2014,Fogg 2009,Geradin & Kuschewsky 2013,Grubbs et al 2010,Hargittai 2002,Hargittai 2008,Helmond 2015,Hoffman et al 2004,Kokolakis 2015,Latzer et al 2014,Latzer et al 2003,Litt & Hargittai 2014,Lutz 2015,Manovich 2011,McAfee & Brynjolfsson 2012,Park et al 2012,Rainie & Anderson 2014,Rainie et al 2013,Rainie & Wellman 2012,Raynes-Goldie 2010,Robinson 2009,Rosseel 2012,Saurwein et al 2015,Schroeder & Ling 2014,Stutzman et al 2012,Taddei & Contena 2013,Taddicken 2014,Tufekci 2007,Utz 2015,Van et al 2015,Van et al 2014,Van et al 2015,Van et al 2011,Van et al 2014,Van & Dijck 2013,Wei 2012,Young & Quan-Haase 2013,Zillien & Hargittai 2009,Zimmer 2010"
2012	Collins et al	Do I Know What You Can See? Social Networking Sites and Privacy Management	8	Facebook	149	"US, Canada, India"	"longitudinal, exploratory"	"use, active, reject, scope, distrust, privacy breaches, review of privacy settings after breach, changes to privacy settings after breach"	"Gross 2006,Vendenberg 2001,Dwyer 2008,Passerini 2007,Warth 2010,Acquisti 2005,Tatham 2006,Turoff 1993,Watson 2008,Bellovin 2011,Pavlou 2011,Rosenblum 2007,Thompson 2011"
2014	Coventry et al	Perceptions and actions: Combining privacy and risk perceptions to better understand user behaviour	2	Generic	104	UK	"correlational, exploratory"	"privacy concern,perceived severity,perceived vulnerability,technical caution,general caution,interest"	"Altman 1975,Bansal et al 2010,Buchanan et al 2007,Chin et al 2012,Jensen et al 2005,Joinson et al 1971,King et al 2011,Kurkovsky & Syta 2010,Lacohee et al 2006,Li 2012,Metzger 2006,Newell 1994,Clarke 2014,Pedersen 1999,Drennan et al 2006,Pollach 2011,Furnell et al 2008,Garfinkel 2001,Han & Kamber 2000,Hough 2009,Hugl 2011,Toch et al 2012,Tsai et al 2011,Ward 1963,Westin 1967,Wu et al 2012"
1999	Cranor et al	Beyond Concern: Understanding Net Users' Attitudes About Online Privacy.	517	None	381	US	"descriptive, exploratory"	"disclosure,comfort,scenario,information type,child vs self,privacy signifiers,proposed browser features"	"Ackerman & Cranor 1999,Benassi 1999,Cranor & Reagle 1998,Culnan 1993,Harris & Westin 1991,Harris & Westin 1994,Harris & Westin 1996,Harris & Westin 1998,Hine & Eve 1998,Milne & Boza 1998,Raab & Bennett 1998,Reagle & Cranor 1999,Turner & Martin 1984"
2014	De Wolf et al	Managing privacy boundaries together: Exploring individual and group privacy management strategies in Facebook	45	Facebook	900	Belgium	"correlational, confirmatory"	"age,gender,occupation,privacy concern,privacy turbulence,common bond,common identity,role,composition,individual privacy management,group privacy management,perceived individual control,perceived group control"	"Acquisti & Gross 2006,Brosius & Engel 1996,Cocking & Matthews 2000,Couldry 2002,Dwyer et al 2007,Ellison et al 2007,Fogel & Nehmad 2009,International et al 2005,Gross & Acquisti 2005,Ibrahim 2008,Hong 2007,Jagatic et al 2005,Johnson 1997,Kvale 1996,Livingstone 2008,Lull 1990,Maher 2007,Mayring 1990,Pankoke-Babatz & Jeffrey 2002,Pross 1992,Riffe et al 1998,Salwen & Dupagne 2000,Tufekci 2008,Tyma 2007,Weber 1972,Weinberger 2005"
2009	Debatin et al	"Facebook and Online Privacy: Attitudes, Behaviors, and Unintended Consequences"	1125	Facebook	119	US	"correlational, confirmatory"	"privacy understanding,privacy settings use,perceived benefits,observed risks,awareness of importance,risk to self vs others,invasion of privacy experience - self vs others"	"Acquisti & Gross 2006,Marwick 2011,Hargittai 2010,Child & Petronio 2011,Lampe 2011,Hargittai & Litt 2013,Hogan 2010,Lampinen et al 2011,Lenhart 2009,Lewis et al 2008,Litt 2013,Madden 2012,Papacharissi 2012,Petronio 2002,Quinn 2012,Raynes-Goldie 2010,Ren et al 2007,Smith et al 2011,Ellison & Lampe 2008,Stutzman et al 2011,Stutzman et al 2012,Tufekci 2008,Vitak 2012,Vitak & Ellison 2012,Xu 2012,Xu et al 2011,Agarwal 2009,Yang & Wang 2009,Young & Quan-Haase 2013,Zhao et al 2008"
2014	Dienlin & Trepte	Is the privacy paradox a relic of the past? An in‐depth analysis of privacy attitudes and privacy behaviors	83	Facebook	595	Germany	"correlational, confirmatory"	"privacy behaviors (specific), privacy behaviors (categorical), privacy intentions, privacy attitudes, privacy concerns"	"Ajzen 1991,TAjzen 1985,Altman 1975,Bagozzi & Yi 1988,Browne & Cudeck 1992,Tobias et al 2013,Crano & Prislin 2006,Dienlin 2014,Gray & Lampe 2011,Festinger 1957,Fishbein & Ajzen 1975,Fishbein & Ajzen 2010,Kirn 2013,Hampton et al 2012,Iacobucci et al 2007,Kaiser et al 2010,Krasnova et al 2010,Haferkamp 2011,Lewis 2011,Marsh & Hocevar 1985,Nosko et al 2012,Nosko et al 2010,Petronio 2002,Petty & Krosnick 1995,Rosseel 2012,Ruddigkeit et al 2013,Stutzman et al 2012,Taddei & Contena 2013,Tormala et al 2002,The et al 2014,Trepte et al 2013,Tufekci 2008,Yao et al 2007"
2005	Dinev & Hart	Internet Privacy Concerns and Social Awareness as Determinants of Intention to Transact	310	E-commerce	422	US	"correlational, confirmatory"	"internet literacy,social awareness,intention to transact"	"Altman 1975,Anderson & Gerbing 1988,Arthur 2003,Bagozzi 1991,Bickford & Reynolds 2002,Bollen 1989,Loch 2001,Byrne 1998,Carroll 2002,Clark & Watson 1995,Clarke 1998,Cohen 2000,Cranor et al 2000,Culnan 1993,Culnan & Armstrong 1999,Dinev & Hart 2003,Hart 2004,Etzioni 1999,Giroux 1987,Goodwin 1991,Grazioli & Jarvenpaa 2003,Greene & Kamimura 2003,Gutek et al 2000,Harvey 1999,Hepburn 1980,Hinkin 1998,Hulme 2004,Jones 1990,Joreskog & Sorbom 1989,Juang & Liaw 2002,Kelvin 1973,Delhagen & Yuen 2003,Laufer & Wolfe 1977,Lee & Turban 2001,Levi & Koc 2001,Luehrmann 1981,Lyon 2001,Margulis 1977,Margulis 2003,Mason 1986,McKnight & Chervany 2001,Milberg et al 1995,Milberg et al 2000,Myers 1989,Nunnally 1978,Neil 2001,Papazafeiropoulou & Pouloudi 2018,Pavlou 2002,Pavlou 2003,Perry 1970,Piaget 1975,Ganapathy 2002,Rindfleish 1997,Segars & Grover 1993,Smith 1993,Smith & McCarthy 1995,Milberg & Burke 1996,Spiekermann et al 2001,Staples 2004,Steinern 1983,Stewart & Segars 2002,Suh & Han 2003,Swift 1990,Swire 2018,Tan & Thoen 2000,Taylor 2002,Tillman 2002,Tsui 2000,Venkatraman 1989,Westin 1967,Westin 2001,Espinoza 1997"
